Date,Branch,Product,Category,Quantity,Unit_Price,Total_Sales,Salesperson
2025-01-31,Alexandria,Knives,Household,6,116.08,696.48,Pedro
2025-04-22,Mansoura,Tea,Beverages,6,37.61,225.66,Tammy
2025-05-03,Alexandria,Tea,Beverages,1,21.62,21.62,Brianna
2025-04-24,Tanta,Tissue,Detergents,3,12.37,37.11,Kevin
2025-04-30,Mansoura,Bleach,Detergents,6,79.05,474.29999999999995,Mark
2025-02-18,Mansoura,Soda,Beverages,2,37.91,75.82,William
2025-04-11,Mansoura,Tea,Beverages,9,107.43,966.8700000000001,Scott
2024-12-31,Alexandria,Coffee,Beverages,7,70.8,495.59999999999997,Jonathan
2025-02-15,Alexandria,Towels,Household,2,122.02,244.04,Vicki
2025-04-13,Mansoura,Shampoo,Detergents,6,139.86,839.1600000000001,Melissa
2025-01-19,Mansoura,Tea,Beverages,9,100.1,900.9,Amber
2025-01-13,Mansoura,Knives,Household,2,131.09,262.18,Anthony
2025-06-25,Mansoura,Beef,Food,7,35.26,246.82,Stephen
2025-06-22,Tanta,Juice,Beverages,8,12.94,103.52,Christopher
2024-12-31,Tanta,Pasta,Food,2,98.03,196.06,Joseph
2025-05-03,Alexandria,Beef,Food,7,103.32,723.24,Vanessa
2025-05-28,Tanta,Pasta,Food,5,149.34,746.7,Chelsea
2025-03-29,Mansoura,Shampoo,Detergents,1,123.97,123.97,Rachel
2025-04-24,Cairo,Coffee,Beverages,5,36.25,181.25,Gary
2025-03-20,Tanta,Soda,Beverages,4,137.36,549.44,Derek
2025-03-28,Tanta,Knives,Household,4,144.62,578.48,Jennifer
2025-02-14,Tanta,Shampoo,Detergents,3,113.48,340.44,Dana
2025-02-13,Alexandria,Plates,Household,2,64.45,128.9,Monica
2025-03-11,Alexandria,Cups,Household,3,107.06,321.18,Fernando
2025-03-30,Alexandria,Shampoo,Detergents,3,62.04,186.12,Brittany
2025-05-20,Tanta,Towels,Household,8,140.89,1127.12,Michael
2025-05-27,Alexandria,Coffee,Beverages,3,117.19,351.57,Curtis
2025-05-20,Tanta,Cups,Household,4,89.71,358.84,Debbie
2025-05-22,Cairo,Coffee,Beverages,5,77.25,386.25,Philip
2025-02-02,Alexandria,Pasta,Food,8,115.82,926.56,Scott
2025-06-24,Mansoura,Soap,Detergents,3,86.16,258.48,Jessica
2025-03-13,Tanta,Soap,Detergents,2,140.44,280.88,Jenna
2025-06-22,Mansoura,Cups,Household,8,52.61,420.88,Denise
2025-04-28,Mansoura,Tea,Beverages,5,16.61,83.05,Judy
2025-01-04,Cairo,Pasta,Food,9,77.05,693.4499999999999,Eric
2025-03-15,Cairo,Pasta,Food,9,108.79,979.11,Thomas
2025-01-12,Alexandria,Cups,Household,4,37.56,150.24,Justin
2025-06-21,Tanta,Chicken,Food,6,66.6,399.59999999999997,Douglas
2025-04-03,Alexandria,Water,Beverages,8,125.72,1005.76,Tony
2025-02-03,Alexandria,Bleach,Detergents,3,144.1,432.29999999999995,Austin
2025-06-05,Mansoura,Soda,Beverages,8,20.21,161.68,Laura
2025-04-27,Alexandria,Pasta,Food,1,85.73,85.73,Jessica
2025-02-19,Cairo,Knives,Household,8,72.55,580.4,Dana
2025-05-23,Cairo,Shampoo,Detergents,1,125.64,125.64,Katherine
2025-03-11,Mansoura,Juice,Beverages,9,38.88,349.92,Tyler
2025-04-13,Tanta,Rice,Food,1,16.72,16.72,Thomas
2025-03-01,Tanta,Shampoo,Detergents,4,46.74,186.96,Karen
2025-06-21,Tanta,Soda,Beverages,5,47.84,239.20000000000002,Megan
2025-02-07,Mansoura,Bleach,Detergents,4,84.56,338.24,David
2025-02-08,Mansoura,Cups,Household,5,53.47,267.35,Robert
2025-05-19,Alexandria,Chicken,Food,4,139.71,558.84,Andrew
2025-02-15,Alexandria,Juice,Beverages,5,116.89,584.45,Zachary
2025-04-11,Alexandria,Tea,Beverages,9,39.44,354.96,Robert
2025-05-10,Tanta,Rice,Food,6,36.21,217.26,April
2025-04-12,Tanta,Tea,Beverages,6,134.9,809.4000000000001,Theresa
2025-01-22,Cairo,Knives,Household,8,19.76,158.08,Stephanie
2025-05-08,Tanta,Shampoo,Detergents,2,67.82,135.64,Sheila
2025-06-08,Mansoura,Bleach,Detergents,3,148.13,444.39,Jeffrey
2025-05-26,Tanta,Beef,Food,7,10.12,70.83999999999999,Daniel
2025-06-14,Tanta,Tea,Beverages,8,42.58,340.64,Gregory
2025-02-25,Mansoura,Tea,Beverages,7,40.45,283.15000000000003,Lynn
2025-05-26,Alexandria,Towels,Household,6,149.43,896.58,Andrew
2025-06-25,Mansoura,Beef,Food,3,65.05,195.14999999999998,Ashley
2025-01-01,Cairo,Shampoo,Detergents,2,76.14,152.28,William
2025-01-22,Cairo,Soda,Beverages,8,45.94,367.52,Steven
2025-02-12,Cairo,Pasta,Food,1,31.59,31.59,Gregory
2025-05-18,Tanta,Pasta,Food,8,125.81,1006.48,Michael
2025-02-24,Tanta,Tea,Beverages,7,25.99,181.92999999999998,Erica
2025-01-30,Tanta,Cheese,Food,5,105.98,529.9,Jay
2025-03-01,Mansoura,Plates,Household,6,57.55,345.29999999999995,Alexander
2025-05-28,Mansoura,Towels,Household,7,40.57,283.99,Stephen
2025-03-16,Tanta,Shampoo,Detergents,8,85.77,686.16,Brian
2025-06-19,Tanta,Plates,Household,9,92.86,835.74,Mark
2025-05-05,Cairo,Shampoo,Detergents,9,94.49,850.41,Willie
2025-04-06,Alexandria,Knives,Household,2,75.81,151.62,Mary
2025-06-16,Tanta,Plates,Household,8,39.72,317.76,Ross
2025-02-23,Mansoura,Rice,Food,3,26.78,80.34,Joshua
2025-03-24,Alexandria,Beef,Food,7,108.93,762.51,Stephanie
2025-02-14,Alexandria,Bleach,Detergents,2,56.91,113.82,William
2025-05-02,Cairo,Knives,Household,5,52.79,263.95,Gary
2025-01-13,Alexandria,Plates,Household,7,116.05,812.35,Scott
2025-04-03,Cairo,Plates,Household,5,149.07,745.3499999999999,Jessica
2025-06-28,Alexandria,Towels,Household,5,145.37,726.85,Kari
2025-06-01,Alexandria,Rice,Food,9,92.98,836.82,Brittany
2025-04-24,Alexandria,Shampoo,Detergents,9,75.57,680.1299999999999,David
2025-01-15,Cairo,Bleach,Detergents,9,78.29,704.61,Allison
2025-04-25,Alexandria,Coffee,Beverages,9,17.37,156.33,Jill
2025-04-09,Tanta,Soda,Beverages,2,103.58,207.16,Robert
2025-04-09,Cairo,Beef,Food,4,76.89,307.56,Ricardo
2025-06-02,Cairo,Cups,Household,2,118.42,236.84,Rachel
2025-01-07,Cairo,Pasta,Food,4,117.1,468.4,Paul
2025-06-07,Cairo,Water,Beverages,2,50.85,101.7,Steven
2025-05-06,Cairo,Water,Beverages,4,61.63,246.52,Amber
2025-03-11,Cairo,Pasta,Food,1,143.57,143.57,Henry
2025-01-30,Cairo,Bleach,Detergents,5,78.88,394.4,Richard
2025-02-02,Cairo,Soda,Beverages,6,10.88,65.28,Brian
2025-05-27,Mansoura,Knives,Household,5,75.27,376.34999999999997,Christine
2025-03-28,Mansoura,Tea,Beverages,4,59.92,239.68,Ryan
2025-05-02,Mansoura,Plates,Household,4,109.38,437.52,Samantha
2025-01-13,Cairo,Chicken,Food,3,124.83,374.49,Debra
2025-06-04,Tanta,Towels,Household,8,69.67,557.36,Logan
2025-02-06,Cairo,Cheese,Food,1,41.9,41.9,Christian
2025-01-27,Tanta,Soap,Detergents,4,109.26,437.04,Kelly
2025-01-15,Mansoura,Tissue,Detergents,9,99.69,897.21,Lisa
2025-03-04,Tanta,Knives,Household,1,19.15,19.15,Lance
2025-01-04,Cairo,Tissue,Detergents,4,128.68,514.72,George
2025-05-26,Mansoura,Soda,Beverages,7,80.06,560.4200000000001,Kyle
2025-01-12,Mansoura,Shampoo,Detergents,1,44.37,44.37,Theodore
2025-02-22,Cairo,Beef,Food,9,114.21,1027.8899999999999,Morgan
2025-06-14,Cairo,Coffee,Beverages,3,127.21,381.63,Kenneth
2024-12-29,Cairo,Plates,Household,8,58.17,465.36,Desiree
2025-02-17,Mansoura,Bleach,Detergents,8,54.11,432.88,Darin
2025-04-28,Mansoura,Soap,Detergents,7,146.95,1028.6499999999999,Jacqueline
2025-01-09,Cairo,Shampoo,Detergents,5,106.6,533.0,Brian
2025-04-27,Mansoura,Juice,Beverages,8,53.65,429.2,Charles
2025-02-07,Cairo,Pasta,Food,5,79.1,395.5,Madison
2024-12-28,Tanta,Soap,Detergents,2,50.43,100.86,Gordon
2025-06-20,Mansoura,Knives,Household,1,40.55,40.55,Austin
2025-04-10,Mansoura,Rice,Food,5,131.72,658.6,Alexandra
2025-02-18,Tanta,Juice,Beverages,1,74.73,74.73,Brian
2024-12-28,Cairo,Coffee,Beverages,8,112.9,903.2,Samantha
2025-06-10,Alexandria,Towels,Household,2,136.27,272.54,Daniel
2025-02-26,Mansoura,Shampoo,Detergents,4,101.61,406.44,Deborah
2025-03-15,Cairo,Cups,Household,1,29.16,29.16,Carla
2025-03-15,Tanta,Rice,Food,4,45.29,181.16,Kimberly
2025-06-11,Alexandria,Plates,Household,7,32.11,224.76999999999998,Sonia
2025-02-23,Alexandria,Cheese,Food,2,137.07,274.14,Kenneth
2025-02-16,Alexandria,Beef,Food,3,86.99,260.96999999999997,Daniel
2025-05-12,Mansoura,Bleach,Detergents,3,112.22,336.65999999999997,Edward
2025-03-03,Alexandria,Water,Beverages,7,82.41,576.87,Timothy
2025-05-11,Tanta,Cheese,Food,9,12.43,111.87,Daniel
2025-06-28,Tanta,Beef,Food,5,106.02,530.1,Brandon
2025-04-15,Tanta,Knives,Household,5,84.99,424.95,Theresa
2025-06-22,Tanta,Plates,Household,3,145.78,437.34000000000003,Lauren
2025-05-30,Alexandria,Chicken,Food,9,137.48,1237.32,Lori
2025-02-06,Cairo,Cheese,Food,4,36.8,147.2,Mary
2025-06-01,Alexandria,Towels,Household,4,120.02,480.08,Alexander
2025-06-05,Cairo,Plates,Household,6,54.86,329.15999999999997,Amy
2025-06-12,Alexandria,Tissue,Detergents,7,106.99,748.93,Marissa
2025-05-28,Alexandria,Towels,Household,6,117.38,704.28,Adam
2025-05-05,Alexandria,Tissue,Detergents,1,120.57,120.57,Todd
2025-05-25,Tanta,Tissue,Detergents,1,141.63,141.63,Randall
2025-06-08,Tanta,Coffee,Beverages,5,115.11,575.55,Shane
2025-01-08,Alexandria,Plates,Household,7,141.87,993.09,Elizabeth
2025-05-14,Alexandria,Shampoo,Detergents,1,10.12,10.12,Misty
2025-04-20,Alexandria,Juice,Beverages,3,42.76,128.28,Matthew
2025-03-20,Mansoura,Plates,Household,6,16.66,99.96000000000001,Noah
2025-05-22,Cairo,Bleach,Detergents,9,93.16,838.4399999999999,Jennifer
2025-04-17,Tanta,Knives,Household,9,23.94,215.46,Tara
2025-02-14,Tanta,Soap,Detergents,2,91.04,182.08,James
2025-02-23,Alexandria,Shampoo,Detergents,5,65.23,326.15000000000003,Jose
2025-03-23,Cairo,Plates,Household,5,14.32,71.6,Thomas
2025-06-07,Alexandria,Tea,Beverages,7,113.5,794.5,Candice
2025-05-06,Alexandria,Soda,Beverages,6,41.03,246.18,Carlos
2025-01-24,Mansoura,Soda,Beverages,9,31.02,279.18,Natasha
2025-02-27,Mansoura,Cups,Household,1,104.01,104.01,Manuel
2025-03-04,Alexandria,Water,Beverages,4,107.36,429.44,Vickie
2025-03-03,Cairo,Pasta,Food,4,10.34,41.36,Troy
2025-02-25,Cairo,Beef,Food,5,128.22,641.1,Kenneth
2025-06-05,Cairo,Plates,Household,5,130.15,650.75,Jessica
2025-05-14,Cairo,Beef,Food,7,43.51,304.57,Kathleen
2025-03-20,Mansoura,Soda,Beverages,8,65.24,521.92,Frederick
2025-06-19,Tanta,Bleach,Detergents,8,122.59,980.72,Mandy
2025-05-17,Alexandria,Cups,Household,7,122.38,856.66,Robert
2025-04-17,Cairo,Tissue,Detergents,7,12.48,87.36,Yesenia
2025-03-30,Alexandria,Pasta,Food,1,39.53,39.53,Jimmy
2025-04-24,Alexandria,Cups,Household,7,121.29,849.0300000000001,Adrian
2025-03-13,Mansoura,Knives,Household,1,135.92,135.92,Michael
2025-05-03,Tanta,Water,Beverages,6,35.93,215.57999999999998,Albert
2025-03-11,Tanta,Cheese,Food,8,138.48,1107.84,James
2025-02-23,Cairo,Cheese,Food,5,14.7,73.5,Steven
2025-03-12,Cairo,Tea,Beverages,2,126.35,252.7,Alice
2025-05-01,Alexandria,Rice,Food,7,23.44,164.08,Michael
2025-05-10,Tanta,Beef,Food,1,48.42,48.42,Scott
2025-03-26,Tanta,Soda,Beverages,6,92.78,556.6800000000001,Lance
2025-06-13,Tanta,Bleach,Detergents,4,98.9,395.6,Cody
2025-01-28,Cairo,Rice,Food,5,31.76,158.8,Shannon
2025-06-05,Mansoura,Chicken,Food,6,94.06,564.36,Ryan
2025-05-14,Alexandria,Cups,Household,1,83.82,83.82,Lori
2025-02-06,Tanta,Shampoo,Detergents,3,43.45,130.35000000000002,Briana
2025-01-23,Cairo,Pasta,Food,4,128.45,513.8,David
2025-05-15,Cairo,Soap,Detergents,9,13.07,117.63,Gregory
2025-05-31,Cairo,Soda,Beverages,8,60.88,487.04,Steven
2025-06-28,Cairo,Cheese,Food,7,66.01,462.07000000000005,Janice
2025-06-14,Cairo,Tissue,Detergents,1,13.19,13.19,Robert
2025-03-23,Cairo,Coffee,Beverages,5,80.83,404.15,Elizabeth
2025-05-11,Tanta,Plates,Household,2,39.1,78.2,Cynthia
2025-02-03,Tanta,Water,Beverages,5,31.15,155.75,Adrian
2025-04-09,Alexandria,Cups,Household,6,70.59,423.54,Michael
2025-01-17,Mansoura,Rice,Food,5,94.96,474.79999999999995,Jennifer
2025-01-15,Cairo,Tissue,Detergents,7,136.49,955.4300000000001,Melanie
2025-02-02,Cairo,Towels,Household,3,101.84,305.52,Jessica
2025-05-04,Mansoura,Knives,Household,2,94.4,188.8,Jacob
2025-06-28,Mansoura,Knives,Household,3,115.32,345.96,Kristina
2025-01-09,Tanta,Soap,Detergents,8,98.84,790.72,Lisa
2025-02-20,Alexandria,Bleach,Detergents,5,45.04,225.2,Molly
2025-01-31,Mansoura,Plates,Household,5,76.41,382.04999999999995,Victoria
2025-03-05,Tanta,Cheese,Food,5,50.26,251.29999999999998,Paul
2025-01-02,Mansoura,Tea,Beverages,5,105.2,526.0,Kenneth
2025-06-24,Alexandria,Water,Beverages,6,92.75,556.5,Christopher
2024-12-28,Cairo,Towels,Household,6,73.34,440.04,Kimberly
2025-03-11,Mansoura,Shampoo,Detergents,1,141.65,141.65,Anthony
2025-05-07,Cairo,Tissue,Detergents,7,96.71,676.9699999999999,Felicia
2025-04-02,Mansoura,Bleach,Detergents,1,35.04,35.04,Lacey
2025-05-21,Mansoura,Pasta,Food,4,36.11,144.44,April
2025-05-02,Tanta,Shampoo,Detergents,2,27.59,55.18,Brittany
2025-02-06,Cairo,Tea,Beverages,3,86.75,260.25,Kevin
2025-02-14,Alexandria,Tissue,Detergents,2,113.28,226.56,Stephanie
2025-01-14,Tanta,Pasta,Food,6,132.28,793.6800000000001,Carl
2025-01-29,Tanta,Plates,Household,4,60.77,243.08,Rhonda
2025-04-02,Alexandria,Soda,Beverages,7,114.39,800.73,Mike
2025-04-06,Cairo,Rice,Food,4,103.56,414.24,Matthew
2025-06-05,Tanta,Tissue,Detergents,6,33.78,202.68,Joan
2025-05-29,Alexandria,Water,Beverages,5,90.19,450.95,Sarah
2025-05-23,Alexandria,Knives,Household,3,47.67,143.01,Stephanie
2025-02-16,Cairo,Plates,Household,1,135.5,135.5,Megan
2025-03-17,Alexandria,Cheese,Food,3,148.79,446.37,Oscar
2025-01-15,Mansoura,Knives,Household,2,23.01,46.02,Patrick
2025-03-18,Alexandria,Cups,Household,7,44.81,313.67,Melissa
2025-01-16,Cairo,Shampoo,Detergents,8,128.79,1030.32,Stephanie
2025-04-20,Tanta,Cups,Household,9,101.55,913.9499999999999,John
2025-05-26,Tanta,Bleach,Detergents,4,63.24,252.96,Brianna
2025-03-12,Alexandria,Soap,Detergents,1,22.56,22.56,Nathan
2025-04-06,Tanta,Rice,Food,3,18.27,54.81,Carlos
2025-01-13,Mansoura,Knives,Household,7,73.99,517.93,John
2025-01-29,Alexandria,Tea,Beverages,8,36.1,288.8,Andrea
2025-06-20,Alexandria,Tea,Beverages,7,84.36,590.52,Paul
2025-02-14,Cairo,Coffee,Beverages,6,110.59,663.54,Maria
2025-04-14,Tanta,Knives,Household,1,78.78,78.78,Javier
2025-01-18,Tanta,Cups,Household,6,11.76,70.56,Dean
2025-02-22,Alexandria,Tea,Beverages,1,10.46,10.46,Aaron
2025-06-20,Cairo,Towels,Household,8,19.83,158.64,Jennifer
2025-02-26,Alexandria,Water,Beverages,8,95.85,766.8,Courtney
2025-05-04,Tanta,Knives,Household,3,53.44,160.32,Mark
2025-01-10,Alexandria,Coffee,Beverages,7,73.22,512.54,Brianna
2025-03-08,Tanta,Towels,Household,7,136.21,953.47,Shannon
2025-01-24,Alexandria,Water,Beverages,9,24.83,223.46999999999997,Sophia
2025-02-21,Tanta,Coffee,Beverages,1,141.99,141.99,Eric
2025-03-03,Tanta,Soap,Detergents,7,79.16,554.12,Jennifer
2025-05-16,Alexandria,Coffee,Beverages,1,107.37,107.37,Bryan
2025-01-10,Cairo,Knives,Household,2,126.98,253.96,Christine
2025-05-26,Tanta,Cups,Household,5,82.17,410.85,Jennifer
2025-03-15,Alexandria,Cups,Household,9,109.29,983.61,Billy
2025-03-11,Cairo,Plates,Household,2,30.18,60.36,Jill
2025-06-08,Cairo,Soda,Beverages,7,99.0,693.0,Anna
2025-02-18,Cairo,Chicken,Food,4,111.65,446.6,Kimberly
2025-01-09,Cairo,Pasta,Food,1,33.92,33.92,Derek
2025-03-20,Alexandria,Tissue,Detergents,3,147.48,442.43999999999994,Joseph
2025-06-21,Alexandria,Soda,Beverages,3,86.55,259.65,Nicole
2025-06-14,Mansoura,Cups,Household,9,47.04,423.36,Kellie
2025-06-17,Tanta,Water,Beverages,1,127.88,127.88,Jesus
2025-05-09,Mansoura,Tissue,Detergents,8,10.51,84.08,Cynthia
2025-05-28,Tanta,Bleach,Detergents,2,121.68,243.36,Diana
2025-06-09,Alexandria,Coffee,Beverages,9,108.16,973.4399999999999,Bobby
2025-06-27,Mansoura,Towels,Household,7,119.13,833.91,Carolyn
2025-05-04,Mansoura,Rice,Food,5,21.65,108.25,David
2025-06-20,Tanta,Juice,Beverages,7,90.83,635.81,Regina
2025-01-15,Cairo,Tea,Beverages,2,42.86,85.72,Edward
2025-05-19,Cairo,Tea,Beverages,9,81.99,737.91,Jeanette
2025-02-23,Alexandria,Chicken,Food,1,82.66,82.66,Miranda
2025-06-05,Alexandria,Pasta,Food,6,69.61,417.65999999999997,Mary
2025-05-28,Alexandria,Knives,Household,5,47.76,238.79999999999998,James
2025-02-10,Alexandria,Pasta,Food,4,21.57,86.28,Daniel
2025-05-18,Cairo,Coffee,Beverages,7,80.86,566.02,Amanda
2025-04-27,Alexandria,Tissue,Detergents,3,52.49,157.47,Mitchell
2025-05-04,Cairo,Bleach,Detergents,8,38.57,308.56,Ashley
2025-03-07,Mansoura,Soda,Beverages,7,83.73,586.11,Victor
2025-01-24,Cairo,Shampoo,Detergents,5,105.71,528.55,Elizabeth
2025-03-08,Tanta,Cups,Household,3,28.59,85.77,Jessica
2025-02-19,Cairo,Bleach,Detergents,3,93.15,279.45000000000005,Felicia
2025-03-15,Tanta,Towels,Household,6,84.99,509.93999999999994,Melissa
2025-03-05,Mansoura,Water,Beverages,2,124.78,249.56,Shane
2025-04-10,Mansoura,Soda,Beverages,9,129.34,1164.06,Jonathan
2025-06-12,Cairo,Towels,Household,7,58.44,409.08,Tina
2025-02-24,Alexandria,Water,Beverages,9,147.06,1323.54,James
2025-01-30,Mansoura,Bleach,Detergents,2,22.96,45.92,Christopher
2025-04-09,Alexandria,Water,Beverages,4,91.71,366.84,Brian
2025-05-07,Tanta,Shampoo,Detergents,3,70.62,211.86,Heather
2025-03-19,Cairo,Cheese,Food,2,14.22,28.44,Scott
2025-06-03,Alexandria,Tissue,Detergents,8,120.03,960.24,Michael
2025-06-03,Cairo,Chicken,Food,5,61.71,308.55,Leonard
2025-03-02,Mansoura,Towels,Household,3,88.27,264.81,Joshua
2025-03-14,Cairo,Coffee,Beverages,9,64.56,581.04,Douglas
2025-02-07,Cairo,Knives,Household,9,41.21,370.89,Jose
2025-01-21,Tanta,Knives,Household,2,65.02,130.04,Deanna
2025-05-10,Alexandria,Knives,Household,4,44.1,176.4,Rebecca
2025-05-28,Alexandria,Pasta,Food,1,77.43,77.43,Sarah
2025-01-20,Tanta,Rice,Food,7,17.61,123.27,Julie
2025-06-15,Mansoura,Coffee,Beverages,3,123.62,370.86,Jason
2025-02-27,Tanta,Rice,Food,1,130.93,130.93,Alan
2025-03-03,Cairo,Plates,Household,5,87.79,438.95000000000005,Robert
2025-02-20,Alexandria,Water,Beverages,5,23.45,117.25,Chad
2025-03-21,Tanta,Tissue,Detergents,1,139.4,139.4,James
2025-05-25,Cairo,Water,Beverages,1,104.12,104.12,Tonya
2025-04-21,Tanta,Soap,Detergents,7,50.8,355.59999999999997,Heidi
2025-04-02,Mansoura,Cheese,Food,9,89.8,808.1999999999999,Cassandra
2025-05-25,Tanta,Pasta,Food,5,149.53,747.65,Jacob
2025-04-11,Mansoura,Shampoo,Detergents,3,63.51,190.53,Victor
2025-03-23,Alexandria,Plates,Household,9,122.92,1106.28,Amanda
2025-06-28,Tanta,Coffee,Beverages,1,61.22,61.22,Mary
